topic,link,headline,date,subline,author,article,summary
creative inspiration,https://www.creativereview.co.uk/pilo-branding/,"Youth hostel Pilo gets a fun, fluffy visual identity",2023-06-22,"Designed by 5.5, the branding embodies the youthful energy and quality experience at the heart of the Lyon hostel, including a custom font inspired by pillows",Daniel Milroy Maher,"Pilo, a new generation youth hostel in Lyon, France, enlisted the help of Paris-based design studio 5.5 to create a brand identity that matches its vision.Set in a former 19th century college on the slopes of the Croix-Rousse, Pilo offers visitors space to work, socialise, eat and sleep, but does so in a way that’s unusual for a youth hostel. Pilo’s unique selling point is that, despite catering to a young demographic looking for a quick place to rest their heads, it comes in the form of a luxury hotel.It offers both comfort and convenience, mixing the energy and sleeping styles of a hostel with the elegant touches of boutique accommodation, including lavish amenities and high-quality beds and bedding.This unusual merging of typically disparate worlds was the main source of inspiration for the team at 5.5, who designed an identity that lies at the intersection between the two.“We worked with all the elements which evoke comfort in a good hotel: good beds, soft sheets, fluffy pillows, bathrobe fabrics, hotel slippers,” says 5.5 co-founder and partner, Vincent Baranger. “We designed fluffy typography inspired by folding bolster pillows, we sewed a slipper on a t-shirt, wrote messages on sheets, and we made embroidered badges to indicate the rooms.”At the heart of the identity is a custom typeface, also named Pilo, which features rounded letterforms reminiscent of folded bolster pillows – an enduring icon of youth hostels around the world. These letters feature added pleats in the corners, to further emphasise the bold and fluffy feeling.Elsewhere, signage around the hotel reflects this theme of simple luxury, with illustrations for the toilets, shower, laundry and do not disturb sign, to name but a few, rendered using playful colours, pillow and slipper imagery, and more rounded letters.Crucially, because 5.5 was formerly a product design studio, the team were conscious of how these elements of the branding could come to life physically, carefully choosing the right materials and techniques. “For Pilo, we worked with embroidery techniques to create the signage,” explains Baranger. “We used the ‘chenille’ patch technique to create room numbers that are very soft and which everybody touches before entering their room.”These thoughtful details even carry through to the staff uniform, which features a t-shirt with an actual slipper sewn onto the chest, and the menu in the restaurant, which is attached to a plastic border in the shape of a cloud and made from recycled materials.In every aspect of the Pilo visual identity, there is a whimsicality that embodies the carefree energy that youth hostels are so well known for, offset against touches of luxury that elevate the entire experience. “In short, we used the hotel as a playground,” says Baranger. “The feeling we wanted to create is very simple: at Pilo, it’s possible to have a comfortable stay and fun times at the same time.”5-5.paris","Pilo, a new generation youth hostel in Lyon, France, enlisted the help of design studio 5.5 to create a brand identity that matches its vision. Pilo, a new generation youth hostel in Lyon, France, enlisted the help of Paris-based design studio 5.5 to create a brand identity that matches its vision."
creative inspiration,https://www.creativereview.co.uk/podcast-ad-agencies-design/,New podcast episode: Do ad agencies get design?,2023-06-21,"Ad agencies are increasingly producing branding and identity work for clients, alongside campaigns. But do they really understand the design process? Find out in the latest episode of Creativity Sucks!",Creative Review,"To those on the outside of the design or advertising industries, the differences between these two realms may seem fairly minimal: they are both creating work for commercial brands, after all. But these two worlds have long prided themselves on their distinctions, at times protecting them fiercely.This separation is going through a rapid breakdown right now, however, as more and more ad agencies are producing identity work, motion design, and graphics for brands, as well as campaigns.In this new episode of our podcast Creativity Sucks!, host Eliza Williams has gathered a panel of experts from the industry to discuss what this means, and whether it matters. And it turns out that it’s all more complicated than you might expect.Listen to the conversation below (or wherever you get your podcasts) to hear Caterina Bianchini from Studio Nari, Chris Chapman from adam&eveDDB, and Mark Sloan from Mother Design all share their views and experiences. And, as usual, if you enjoy the show, please like and share, it really helps.",", Eliza Williams has gathered experts from the industry to discuss what this means, and whether it matters.In this new episode of our podcast Creativity Sucks!, Eliza Williams has gathered experts from the industry to discuss what this means, and whether it matters."
creative inspiration,https://www.creativereview.co.uk/gradwatch-callout-2023/,Graduates: we want to see your work!,2023-06-19,Our annual showcase of the best graduate creative work is back for 2023. Send us your work by July 11 to be in with a chance of being featured in Creative Review,Creative Review,"Gradwatch, our yearly showcase of the best graduate talent, is returning this summer – and we’re on the lookout for creatives to spotlight as part of it.We’ll be looking through as many physical and digital degree shows as we can, but with significantly fewer online showcases this year, the best way to make sure we see your work is by sending it to us directly.We’re inviting anyone who is completing a creative undergraduate degree programme in summer 2023 to submit your work to the CR team. You can be studying anywhere in the world, not just the UK.Send us your work by emailing us at gradwatch@centaurmedia.com. You can submit up to five examples of work you’ve created, and we’d love to hear more about yourself too, so please include a short paragraph explaining what area of creativity you specialise in, and information about which university and course you have graduated from.You can send images as JPG/PNG files, and videos should be sent as MOV/MP4 files via WeTransfer or Dropbox. We also accept links to view work online, but please do not send zip files, as we won’t receive these. The deadline to send in entries is July 14.The graduates selected to take part in this year’s showcase will be profiled on the Creative Review website in August. If you’re in need of any inspiration, head to our Gradwatch page to see previous participants. We look forward to seeing your work!","the best graduate talent, and we’re looking for creatives to spotlight as part of it. Gradwatch, our yearly showcase of the best graduate talent, is returning this summer – and we’re looking for creatives to spotlight as part of it."
creative inspiration,https://www.creativereview.co.uk/creativity-sucks-returns-for-a-new-series/,Creativity Sucks! returns for a new series,2023-04-26,Creative Review’s podcast is back and on a mission to tackle the most thorny questions facing creatives and brands today. In this episode we look at whether rebrands are worth the money,Creative Review,"The topic that causes more discussion than any other among Creative Review’s readership is branding and logo design. Despite much of our audience working in the design and creative industries, and presumably understanding what is involved in creating a new piece of identity work, responses can be savage, and often quite personal.It is with these reactions in mind that we have chosen the title of the first episode of the new series of CR’s podcast Creativity Sucks!, which poses the following question: are rebrands worth the money?To debate this, and the state of logo and branding design in general, host Eliza Williams is joined by three esteemed guests from the industry: JKR’s Lisa Smith, Pentagram’s Marina Willer, and Not Wieden+Kennedy’s Adam Rix, who all share their own – sometimes painful – experiences of launching new brand identities.Listen to the conversation below, or wherever you receive your podcasts. And if you enjoy the show, please like and share, it really helps!",", the first episode of the new series of CR’s podcast Creativity Sucks!, which poses the following question: are rebrands worth the money?Creativity Sucks! is the topic that causes more discussion than any other among Creative Review’s readership."
creative inspiration,https://www.creativereview.co.uk/fanta-branding-design-jkr/,Fanta unveils bubbly global branding,2023-04-04,"Illustrations and typography enhance the soft drink’s first global brand identity, which aims to bring consistency to its designs around the world",Megan Williams,"Fanta has joined the legions of soft drinks brands unveiling a new look as of late, including PepsiCo’s Pepsi and 7Up in the last six weeks alone.The redesign for Fanta, which is owned by the Coca-Cola Company, marks the brand’s first effort to create a consistent design system across all of its markets around the world.The new identity and packaging design were both led by the Coca-Cola Global Design team in collaboration with Jones Knowles Ritchie (JKR), which is fresh from launching a new look for Stella Artois.The new logotype is a fairly subtle evolution of the previous iteration launched in 2017. The letterforms are slightly more even now, but they’re still extruded and staggered as they were before, and blue continues to play an important role, though the shade has been newly tweaked.A new custom typeface has also been developed with type foundry Colophon, which has just the right amount of wonky angles and proportions.The most noticeable change to the wordmark is the loss of the orange motif and leaf, presumably so that people don’t just associate the brand with its well-known orange flavour.The expanded colour palette was chosen to drive home the different options in the Fanta line-up, reinforced by a series of fruity graphics indicating the various flavours that appear on the cans. The suite of fruit symbols seen throughout the visual identity are complemented by Lucas Wakamatsu’s joyful illustrations, which work particularly well when animated.“We were really inspired by the idea of bringing playfulness to consumers of all ages when we started to ideate around how to bring the brand’s purpose to the masses,” said JKR’s global ECD, Lisa Smith.“By thinking what this meant for the brand’s expression, attitude, and actions, we were able to build a distinctive brand identity that signalled Fanta’s commitment to fun at every level – from real life to digital.”jkrglobal.com",the brand’s commitment to fun at every level – from real life to digital. the brand has joined the legions of soft drinks brands unveiling a new look as of late. the new identity and packaging design were led by the Coca-Cola Global Design team.
creative inspiration,https://www.creativereview.co.uk/gradwatch-callout-2023/,Graduates: we want to see your work!,2023-06-19,Our annual showcase of the best graduate creative work is back for 2023. Send us your work by July 11 to be in with a chance of being featured in Creative Review,Creative Review,"Gradwatch, our yearly showcase of the best graduate talent, is returning this summer – and we’re on the lookout for creatives to spotlight as part of it.We’ll be looking through as many physical and digital degree shows as we can, but with significantly fewer online showcases this year, the best way to make sure we see your work is by sending it to us directly.We’re inviting anyone who is completing a creative undergraduate degree programme in summer 2023 to submit your work to the CR team. You can be studying anywhere in the world, not just the UK.Send us your work by emailing us at gradwatch@centaurmedia.com. You can submit up to five examples of work you’ve created, and we’d love to hear more about yourself too, so please include a short paragraph explaining what area of creativity you specialise in, and information about which university and course you have graduated from.You can send images as JPG/PNG files, and videos should be sent as MOV/MP4 files via WeTransfer or Dropbox. We also accept links to view work online, but please do not send zip files, as we won’t receive these. The deadline to send in entries is July 14.The graduates selected to take part in this year’s showcase will be profiled on the Creative Review website in August. If you’re in need of any inspiration, head to our Gradwatch page to see previous participants. We look forward to seeing your work!","the best graduate talent, and we’re looking for creatives to spotlight as part of it. Gradwatch, our yearly showcase of the best graduate talent, is returning this summer – and we’re looking for creatives to spotlight as part of it."
creative insight,https://www.creativereview.co.uk/onothing-beats-a-londoner-advertising/,"Ok advertising, it’s time to let go of Nothing Beats a Londoner",2023-06-20,"Nike’s 2018 campaign is still lauded for its razor-sharp representation of Black British culture. But brands who continue to piggyback of its success are missing an opportunity to genuinely connect with communities, says Damola Oladapo",Damola Oladapo,"As a Black man working in the ad world, I spend a fair amount of time discussing the foibles of being Black in advertising. What needs fixing? What’s changing? And, most importantly, what recent work represents actual progress? I recently had a thought on my mind that spoke to all three of those questions: Why is every ad from any brand that wants to hero diversity and develop cultural adjacency to Black Britishness have the same aesthetic as Nothing Beats a Londoner?In 2018, Nothing Beats a Londoner was an instant hit that immediately shook up culture, and for good reason. It was (and still is) a great distillation of London’s spirit and energy. An incredible achievement from Nike, Wieden + Kennedy, On Road and Megaforce. The ensemble cast featured some of the best and the burgeoning voices of Black British talent – Skepta, Giggs, J Hus, Jorja Smith, Michael Dappah, Little Simz, Dave, the list goes on. Even Gareth Southgate got a spot.The excellently rendered soundtrack started with Skepta’s then still relatively new-but-insta classic Shutdown, into OG bangers with Kano’s Typical Me, before Dizzee Rascal closed things out. It featured young, Black, inner-city kids speaking naturally, as they would with friends. We can credit the ad’s courage to embrace this wholeheartedly as a key moment in how the industry began its attempts to authentically represent the Black British experience.By now, most brands have all had a crack at making their version, and the clones have only helped to prop up the brilliance of the originalThe ad felt fresh, it felt new, and it felt celebratory. Celebratory because it was an acceptance and recognition that Black British culture and London’s youth are the creative engines behind the world’s premier creative hub. 2018 also saw Skepta and A$AP Rocky’s Praise Da Lord become the biggest song of the year, a symbolic passing of the zeitgeist’s torch from NYC to LDN. Virgil Abloh and Off-White took over the capital to release the designer’s legendary The Ten’ remix of Nike classics. Then there was the emergence of England’s incredible new crop of young players at the 2018 FIFA World Cup, many of which were Londoners. You couldn’t see past London as the place, and Nike’s ad was the cherry on the cake.Now, looking back, Nothing Beats a Londoner feels like the unofficial, first part of Nike’s collaboration with Corteiz. Like the first chip falling to make that collaboration feel natural. As with all great works, the ad has spawned clones. Many, many, many of them. By now, most brands have all had a crack at making their version, and the clones have only helped to prop up the brilliance of the original.But the high proliferation of this style has also made it feel a bit reductive. Five years ago, the use of aesthetic-as-narrative felt like a real shift. The whip pans. The mixed perspectives. The crash zooms. The frenetic, kinetic cutting. A comic book panel in motion. The visual verbiage felt like a real understanding of how to create work that authentically represented the big, bright, and charismatically unique energy of Black British London.Five years on, the same aesthetic-as-narrative device has begun to feel platitudinal. A bit like having token Black/brown people in the frame to hint at comfort with diversity, rather than engaging with the layers of their experience to tell stories from. The culture has evolved, and the consumers have matured. It’s time for some fresh, new takes on storytelling in advertising if brands want to keep attracting and convert new black and brown customers. For example, Ikea’s recent ad under the Wonderful Everyday platform from Mother is a good example of fusing said aesthetic with some very subtle, but well-considered world-building.Film has always led the way with the macro cultural beats, then advertising follows. Take Raine Allen Miller’s debut feature Rye Lane, a Black British romcom featuring two African twenty-somethings from Peckham. It has loads of stylistic flair, it’s funny, acerbic and cleverly written, it has substance and style. Of course, a two-hour feature is going to give you more story than a two-minute ad. But Rye Lane represents progress, because it begins to widen the aperture of the lived experience within Black British media and storytelling beyond the well-worn tropes of road life depictions as the only Black British films that get commissioned.Advertising in a cultural context needs to follow suit, moving on from just cool aesthetics to also building stories around some funny, honest, irreverent, cultural insights. Let’s have more than just the Black presence, a few witty zingers, some whip pans, and crash zooms, and drill-inspired sound design. We need the swagger and the layered stories too.Brands, advertisers, agencies need to start playing bigger and braver, embracing and highlighting the wealth of stories and insights from within these culturesProgress is not a linear thing. Especially when progress is contingent on defeating structural blockers within an inherently biased industry. Nothing Beats a Londoner was a moment of progress, and the huge adoption of its style by brands and advertisers is obvious proof of that. It solved a problem for brands at the time, giving them a shorthand opportunity to communicate and leverage culture effectively to shift product (and gain some cultural brownie points).But now… times up. The idea is knackered. It’s just finished running its 30th consecutive London Marathon in a pair of Air Force 1s. Brands, advertisers, agencies need to start playing bigger and braver, embracing and highlighting the wealth of stories and insights from within these cultures. If advertising still wants to leverage culture and target Black and brown consumers, it’s time to start doing it with more cleverness and ingenuity.Damola Oladapo is a London-based freelance creative director, copywriter, journalist and founder of new creative studio House Captain. He has worked with brands including Nike, Spotify, FIFA, Campari Group and Gorillas. This article was originally published on his Linkedin",",,,,, the ad’s courage to embrace this wholeheartedly as a key moment in how the industry began its attempts to authentically represent the Black British experience. In 2018, Nothing Beats a Londoner was an instant hit that immediately shook up culture, and for good reason. It was an instant hit that immediately shook up culture, and for good reason."
creative insight,https://www.creativereview.co.uk/creative-awards-advertising-trends/,What do the D&AD Awards reveal about the state of advertising today?,2023-06-09,"No D&AD Black Pencils were awarded in advertising this year. But rather than suggesting an industry in decline, Patricia McDonald, CSO at Dentsu Creative and Media Jury chair at D&AD, sees it as cause for celebration",Patricia McDonald,"More than any other creative industry award, a D&AD Black Pencil is a talisman, a bellweather for our industry. Like ravens in the Tower of London or white smoke in the Vatican, the presence (or absence) of the fabled Black Pencil is scrutinised, debated, discussed. What does it mean for the health of the industry, the fate of the kingdom?Of course, it’s tempting to view the absence of Black Pencils in the advertising track as a sign that the industry is struggling. In fact, having chaired the Media Jury, I think it’s an extraordinarily positive and exciting thing.What happens in the jury room stays in the jury room, of course. I can say though that there was no shortage of incredible work. No shortage of passion, energy, debate, and discussion. What there wasn’t was absolute consensus. Which I for one think is fantastic news.",",,,,, was absolute consensus. What there wasn’t was absolute consensus. Which I think is fantastic news., a D&AD Black Pencil is a talisman, a bellweather for our industry., a D&AD Black Pencil is a talisman, a bellweather for our industry. Like ravens in the Tower of London or white smoke in the Vatican, the presence (or absence) of the fabled"
creative inspiration,https://www.creativereview.co.uk/creativity-sucks-podcast-gen-z-insights-trends/,Creativity Sucks! podcast asks what Gen Z really wants,2023-06-07,"In our latest edition of the CR podcast, guests including Mother’s Vairi MacLennan, Woo’s Stephen Mai, and the Digital Fairy’s Efemena Okogba discuss what makes Gen Z different",Creative Review,"It doesn’t feel very long ago that brands and marketers were obsessed with millennials, targeting all their communications at that generation and analysing them to death. Now though, attention has shifted to the next age group to come up the pipeline: Gen Z.For the cynical amongst you, this new preoccupation may seem rooted simply in brands’ preoccupation with youth – ie now the millennials are hitting 40 they are no longer the priority. There is bound to be some truth to this, though as this episode of CR’s podcast Creativity Sucks! reveals, there are some other unique elements to Gen Z too, which will likely resonate up the generations above them, changing everyone’s behaviour along the way. And it is this, as much as their youthful energy, that makes them an important group to pay attention to.Host Eliza Williams is joined by three experts in this field – Vairi MacLennan, head of content at Mother London; Stephen Mai, founder and CEO of Woo; and Efemena Okogba, CEO at the Digital Fairy – to discuss what makes Gen Z tick, and how they changing everything from our workplaces to our brands.You can listen to their conversation below or wherever you get your podcasts. And if you enjoy the show, please like and share, it really helps.",",,,, and share, it really helps. and share, it really helps. and marketers were obsessed with millennials, targeting all their communications at that generation and analysing them to death. Now though, attention has shifted to the next age group to come up the pipeline: Gen Z.For the cynical amongst you, this new preoccupation may seem rooted simply in brands’ preoccupation with youth – ie now the millennials are hitting 40 they are"
creative inspiration,https://www.creativereview.co.uk/tfl-london-safety-campaign-vccp/,Transport for London introduces fresh new safety campaign,2023-06-07,"Created by VCCP and illustrator Andrew Hudson, the campaign features bold type and a Pop Art feel in a bid to stand out on London’s transport network",Eliza Williams,"The messaging of the new campaign will be recognisable to those familiar with London’s Underground, and includes a focus on the iconic ‘mind the gap’ safety phrase that is heard daily across the network.The risk however is that these expressions are now so familiar to travellers on the Underground that they tune them out, so the campaign makes clever use of type and illustration to highlight the moments when danger is most likely to occur.This includes a vertigo-inducing image of a stairwell with the reminder to ‘hold the handrail’ and the text ‘take care, closing doors’ shown trapped in a tube carriage door.TfL has a long history of effective and dynamic design and advertising, and Hudson’s illustrations reflect the familiar patterns and shapes that can be found across the network, though uses them in an unexpected way to reinforce the important messages.The campaign will appear on OOH and digital screens across TfL’s network and on social media.Credits:Agency: VCCPCreative Director: Simon LearmanArt Director: Ali AugurIllustrator: Andrew Hudson",the new campaign will be recognisable to those familiar with London’s Underground. The campaign includes a focus on the iconic ‘mind the gap’ safety phrase that is heard daily across the network. The campaign makes clever use of type and illustration to highlight the moments when danger is most likely to occur.
