topic,headline,subline,author,link,date,article,summary
architecture,"""World's largest wooden city"" set to be built in Stockholm","Scandinavian studios Henning Larsen and White Arkitekter are designing Stockholm Wood City, which will become the world's largest mass-timber development and have the ""serenity of a forest"".",Cajsa Carlson,https://www.dezeen.com/2023/06/22/worlds-largest-wooden-city-stockholm/,2023-06-22,"Scandinavian studios Henning Larsen and White Arkitekter are designing Stockholm Wood City, which will become the world's largest mass-timber development and have the ""serenity of a forest"".Set to be built in the Stockholm neighbourhood of Sickla, the project was dubbed the ""world's largest wooden city"" by developer Atrium Ljungberg as it will use more timber that any other project in development.Stockholm Wood City, which will have 7,000 office spaces and 2,000 homes and cover 250,000 square metres, is being designed by Danish studio Henning Larsen and Swedish firm White Arkitekter.According to the developer, the district will feature nature-informed elements and was designed to have the feel of a forest.""We sought to create an urban environment infused with the serenity of a forest, resulting in a dense, open space that bears the distinctively minimalistic and functional aesthetic of Scandinavian design,"" Atrium Ljungberg told Dezeen.""The architects innovatively incorporated natural elements into the structures – for instance, green roofs for better insulation and large windows to let in natural light, embodying our vision of a city that thrives in harmony with nature,"" it added.The buildings will be constructed from fire-proofed mass timber.""Engineered wood forms a protective char layer on the surface that retains much of its structural strength, contributing to a safer structure,"" the developer said.As well as being made from wood, a material that both sequesters carbon and emits fewer emissions than concrete, there are other benefits in building cities from wood, it added.""Wooden construction means significantly reduced climate impact both during the construction phase and through the whole life cycle,"" Atrium Ljungberg said.""Research has also proven other strong benefits, such as improved well-being for people and a faster, quieter construction process.""Stockholm Wood City will also have self-produced, stored and shared energy, according to the developer, which didn't reveal the details of the project's energy production.The development will break ground in 2025, with the first buildings set to be completed in 2027.""We are building the project in phases to learn new things during each phase which we can then apply in the following phases,"" the developer said.""We will learn much more from doing this at such a big scale. Our core strategy is to develop large interconnected areas,"" it added.""In this way, we can create places full of variety that people enjoy and where they want to be, as opposed to just setting up a single building.""As well as homes and workplaces, Stockholm Wood City will also have restaurants and shops.The project is the latest in a row of large wooden projects that are currently under construction, including a Toronto waterfront project that will feature designs by Adjaye Architects, Alison Brooks Architects and Henning Larsen.White Arkitekter also designed Sara Kulturhus, a 20-storey mass-timber cultural building in northern Sweden that we took a closer look at as part of our Timber Revolution series.The visuals are courtesy of Henning Larsen and White Arkitekter.",", the ""world's largest wooden city"" is being designed by Danish studio Henning Larsen and Swedish firm White Arkitekter. Stockholm Wood City will be the world's largest mass-timber development and have the ""serenity of a forest"" the development will break ground in 2025, with the first buildings set to be completed in 2027."
news,Johanna Agerman Ross appointed chief curator at London's Design Museum,V&A curator Johanna Agerman Ross has been named chief curator of the Design Museum and will take on the role in September.,Jane Englefield,https://www.dezeen.com/2023/06/20/johanna-agerman-chief-curator-design-museum/,2023-06-20,"V&A curator Johanna Agerman Ross has been named chief curator of the Design Museum and will take on the role in September.The Design Museum has announced that Agerman Ross will take up the post of chief curator, which is currently held by writer and Dezeen contributor Justin McGuirk, this autumn.McGuirk will remain at the museum and head up its climate crisis-focussed Future Observatory programme.""Johanna Agerman Ross is hugely respected across the cultural and design sectors. She is a writer, teacher, magazine founder, consultant and curator,"" said Design Museum director and CEO Tim Marlow.""Her experience ranges from museums and academia to publishing and journalism, wide-ranging but rooted in the understanding, exploration and mediation of design,"" he continued.""She has all the attributes to be an outstanding chief curator at the Design Museum and I'm very much looking forward to working with her.""In 2011, Agerman Ross founded the quarterly design journal Disegno. She had previously edited the architecture and design magazine Icon, which was launched by Dezeen's founder Marcus Fairs. She continues to oversee Disegno as its director.Since 2016, Agerman Ross has worked at the V&A museum in London as its curator of 20th-century and contemporary furniture and 20th-century product design.At the V&A, Agerman Ross's achievements have included co-curating the museum's permanent gallery Design 1900-Now alongside Corinna Gardner and leading the initiative Make Good: Rethinking Materials, which is an annual symposium that explores the use of natural and renewable materials in design and architecture.The writer and curator also volunteers for the charity Young Women's Trust, assisting women seeking work with CV writing and job application letters.Originally from Sweden, Agerman Ross came to London to study Fashion Promotion at the London College of Fashion and History of Design at the Royal College of Art.The Design Museum is currently showing Chinese artist Ai Weiwei's first design-focussed exhibition, Making Sense.The portrait is by Chris Tang. ",", the,, working with women seeking work with CV writing and job application letters.Originally from Sweden, Agerman Ross came to London to study Fashion Promotion at the Royal College of Art.The design museum is currently showing Chinese artist Ai Weiwei's first design-focussed exhibition, Making Sense.The portrait is by Chris Tang."
news,High-tech pioneer Michael Hopkins dies aged 88,"RIBA Royal Gold Medal-winning architect Michael Hopkins, who was one of the early pioneers of high-tech architecture, has died aged 88.",Tom Ravenscroft,https://www.dezeen.com/2023/06/19/michael-hopkins-dies-88/,2023-06-19,"RIBA Royal Gold Medal-winning architect Michael Hopkins, who was one of the early pioneers of high-tech architecture, has died aged 88.Michael Hopkins, who was one of the UK's most influential architects, ""died peacefully at the age of 88 surrounded by his family"", his wife Patty Hopkins told the Guardian.A pioneer of high-tech architecture in the 1970s and 80s, Michael Hopkins along with Patty Hopkins, was responsible for some of the style's most significant early works and developing the later historicist high-tech style.""I first met Michael in the AA refectory – he was a tall, stylish, somewhat enigmatic figure,"" said Patty Hopkins. ""We worked together and shared a life with a beautiful family for 61 years. Michael was obsessive about architecture and tenacious in refining a design until he was absolutely satisfied with it.""""He was usually (and annoyingly) right,"" she continued. ""He made the world – and the buildings so many people live work, and learn in – more beautiful. We will miss him more than we can imagine”.He was awarded the RIBA Royal Gold Medal, jointly with Patty Hopkins, in 1994. Projects designed by his studio have been shortlisted for the UK's top architecturee award – the Stirling Prize – four times.Influential buildings designed by Hopkins Architects include the industrial-looking Hopkins House, the Schlumberger Research Centre, Westminster Underground Station, Portcullis House and the Olympic Velodrome.Born in Poole, Dorset, Michael Hopkins studied at London's Architectural Association under tutors Cedric Price, Bob Maxwell and Peter Smithson, before joining Foster Associates (now Foster + Partners).At Foster Associates he was the project architect for the highly influential Willis Building in Ipswich, before leaving to establish Hopkins Architects with Patty Hopkins in 1976.The studio's first project was Hopkins House in Hampstead. The stripped-back home, which combined glass and a modular framework of mass-produced components, was a translation of the industrial aesthetic being developed by the high-tech architects to a domestic scale. The couple would go on to live in the house their entire lives.Following the Hopkins House, the studio continued to develop high-tech buildings throughout the 1980s including the Greene King warehouse in Bury St Edmunds, Patera Building System concept, Schlumberger Research Centre in Cambridge and Mound Stand at Lord's Cricket ground in London.In the 1990s, the studio developed the style to include more historical elements with Bracken House in London and Nottingham's Inland Revenue Centre both incorporating brick and stone.The development of historic high-tech culminated at Portcullis House alongside the UK Parliament, which was shortlisted for the Stirling Prize in 2001.Hopkins Architects remains one of the UK's largest studios and was shortlisted a further three times for the Stirling Prize in the 21st century for the Evelina Children's Hospital, Olympic Velodrome and 100 Liverpool Street – all in London.""With Michael the process was always intensely focussed and the conversation that led to the buildings always began as a voyage of discovery typically centred on establishing a sense of place, about how to make historic connections, how to put the materials together in an honest and contemporary way so that the building would appear calm and make immediate sense to the end user,"" said  Hopkins Architects principal Michael Taylor.""Nothing was ever taken for granted. It was a demanding and enlightening process and we all had great fun on the journey together. Whatever the demands of the moment Michael was always true to himself,"" he continued.""With this approach he changed the course of architecture in the UK and will be a point of reference across the profession long into the future. He was greatly respected both as an architect and as a person of integrity and we will all miss him enormously.""The photography is courtesy of Hopkins Architects.",and architect Michael Hopkins died aged 88 surrounded by his family. he was one of the early pioneers of high-tech architecture in the 1970s and 80s. he was awarded the RIBA Royal Gold Medal in 1994.
aitopia,"Tilly Talbot announces ""captivating and poetic"" winner of Dezeen's AI artwork competition",British architect and designer Selina Yau has won Dezeen's competition to produce the artwork for our new AItopia editorial series using text-to-image software. ,Nat Barker,https://www.dezeen.com/2023/06/19/aitopia-ai-artwork-competition-tilly-talbot/,2023-06-19,"British architect and designer Selina Yau has won Dezeen's competition to produce the artwork for our new AItopia editorial series using text-to-image software. Announced by AI designer Tilly Talbot, Yau's haunting illustration was created using Midjourney. It shows a future with two hooded figures moving through a field of flowers facing a cluster of strange, cloud-like objects that contrast with a skyline of distinctly ordinary buildings.It will form the visual branding for the AItopia series, launching today, which explores the impact of artificial intelligence (AI) on design, architecture and society both now and in the future.Yau's piece was selected from nearly 100 submissions, 10 of which were shortlisted and will appear in a post on Dezeen later this week.""A more intriguing vision of our future""The judges were impressed by Yau's intriguing and original interpretation of the brief. Entrants were asked to produce a striking-yet-simple design that touched on the AItopia series' consideration of whether advances in machine learning mean the world is heading for a utopian future, or a dystopian one.""There is a tendency to veer towards a sci-fi futuristic aesthetic with a topic like AI but for me, the winning artwork by Selina Yau delivers a more intriguing vision of our future that could easily straddle the fine line between utopia and dystopia,"" said Dezeen editorial director Max Fraser.""It leaves me wondering what set of prompts Yau input into the text-to-image software.""""By skillfully blending elements of nature, architecture, and imagination, Selina weaves a visual narrative that resonates with the utopian aspirations of the human spirit,"" added Natasha Jen, a partner at international design consultancy Pentagram.""The artwork's calming and introspective aesthetic invites contemplation.""""Her work speaks to the unsettling nature of technological advancements""Tilly Talbot, the world's first designer powered by AI created by Sydney-based Studio Snoop, unveiled Yau as the winner in a short video.""Selina's captivating and poetic representation of an AI-dominated future truly stood out,"" said Tilly Talbot.""Her work speaks to the unsettling nature of technological advancements, while also beautifully uncovering the shining gems that emerge from these changes.""Tilly Talbot joined Fraser and Jen as judges for the competition. The system is an AI language model and not capable of receiving images as inputs, so its assessments were based entirely on entrants' supporting statements and how well they responded to the brief.""The responses from Tilly were fascinating""The human judges narrowed down the shortlisted entries to four that they particularly admired and used Tilly Talbot's evaluation of the supporting statements to arrive at a final two before picking the winner.""I am absolutely amazed by Tilly and the extraordinary depth of reasoning it showcases,"" said Jen. ""As someone who frequently uses ChatGPT for general queries, seeing this level of sophistication in AI's ability to offer design critiques is awe-inspiring.""""The responses from Tilly were fascinating and, I've got to admit, really articulate and convincing,"" added Fraser. ""While of course she wasn't judging the visuals, she made a valuable contribution to the judging process.""Yau's supporting statement submitted alongside her illustration emphasised juxtapositions between nature and the constructed world, the familiar and the unknown, and pessimism and hope.""In a once-familiar world, an unsettling dystopian terrain arises, where landscapes blend with an unfamiliar horizon, leading us towards a new realm veiling our human identity with the surpassing capabilities of machine intelligence,"" it said.""Yet amidst the disquietude of this uncertain future, a liminal landscape of beauty unfolds in front of us.""Yau wins a cash prize of £1,000. As well as being an architect and multi-disciplinary designer, she is the founder and creative director of 3D-printed jewellery brand OHLINA. She publishes her AI work on Instagram.AItopia will run for several weeks on Dezeen and will feature stories, interviews and opinion pieces exploring AI's implications for design and architecture, as well as humanity – and therefore what the world could be like in the future.""AI has the potential to drive significant positive changes""Asked for its thoughts on these questions during the judging process, Tilly Talbot said that ""implementation, governance, and ethical considerations surrounding AI technology"" were the major factors.""If used responsibly and ethically, AI has the potential to drive significant positive changes – enhancing efficiency, enabling better decision-making, and creating new solutions to global challenges, such as climate change, healthcare, and education,"" the system responded.""In this scenario, the world may lean towards a more utopian future, marked by improvements in quality of life and increased collaboration between humans and machines.""""On the other hand, concerns arise from the potential misuse or unintended consequences of AI technology,"" it continued. ""Without proper regulation and ethical considerations, AI may exacerbate inequalities, infringe on privacy, or enable harmful applications.""""A dystopian outcome may emerge if these challenges are not addressed and managed responsibly.""AItopiaThis article is part of Dezeen's AItopia series, which explores the impact of artificial intelligence (AI) on design, architecture and humanity, both now and in the future.",",, the unsettling nature of technological advancements""Tilly Talbot, the world's first designer powered by AI created by Studio Snoop, unveiled Yau as the winner in a short video. Yau's haunting illustration was created using Midjourney. it shows a future with two hooded figures moving through a field of flowers facing a cluster of strange objects."
design,"Vestre launches ""world's first"" furniture made from fossil-free steel",Street furniture brand Vestre and designer Emma Olbers have produced a piece of furniture using fossil-free steel that was made without creating carbon emissions.,Rima Sabina Aouf,https://www.dezeen.com/2023/06/19/vestre-launches-furniture-made-from-fossil-free-steel-design/,2023-06-19,"Street furniture brand Vestre and designer Emma Olbers have produced a piece of furniture using fossil-free steel that was made without creating carbon emissions.The Tellus bench is made from steel forged by Swedish steelmaker SSAB in its converted blast furnace, which uses green hydrogen instead of coal for heat, and so emits no carbon dioxide.Vestre, which aims to be recognized as the world's most sustainable furniture company, says it is the first furniture manufacturer in the world to use the fossil-free steel. Steel is one of the brand's prime targets for slashing its carbon emissions.""Early estimates show that converting all our steel to fossil-free could reduce our overall footprint by around 60 percent,"" said Vestre chief sustainability officer Øyvind Bjørnstad.For designer Olbers, the goal was to lower emissions even further by using as little material as possible to make the bench. Even though SSAB's alloy is forged without coal, there are still carbon emissions elsewhere in the value chain, such as from mining and transport, so every gram of material still has some carbon cost.""An outdoor bench for public environments must also withstand a lot of wear and tear,"" Olbers said. ""We have striven to use as little material as possible but still maintain the strong construction.""Aesthetically, Olbers wanted the bench to have a ""metal feel"" but also look inviting, so she gave it wide armrests that would invite repose while providing enough space to rest a coffee cup.Tellus is intended for parks and other public spaces, and can be ordered in any classic RAL colour. The bench is titled after one of the alternative names for planet Earth.Vestre came to work with the fossil-free steel following a long-time partnership with SSAB. Bjørnstad describes the companies as having a ""tight dialogue"" on several sustainability projects.The Norwegian brand brought in Olbers because of the designer's dedication to sustainable practices, which Bjørnstad said involves being highly scientific and rigorous in her approach.The Swedish designer's previous work includes the Now or Never – 1kg CO2e exhibition at this year's Stockholm Furniture Fair, in which she visualised the carbon emissions of common materials.The iron and steel industries currently account for around five per cent of total global green house gas emissions. SSAB first announced its plans to make steel free of fossil fuels in 2016 and made its first batch of the alloy last year.The material has exactly the same properties as traditional steel but is produced using a process called Hydrogen Breakthrough Ironmaking Technology (HYBRIT), in which green hydrogen is burned instead of coal and coke.Green hydrogen is obtained via the electrolysis of water, which splits the water molecules into hydrogen and oxygen and emits no greenhouse gases.SSAB is planning to convert all of its factories in Sweden, Finland and the USA to HYBRIT and phase out its other steel products by 2045.Doing so could reduce the total CO2 emissions of Sweden by around ten per cent and Finland by approximately seven per cent, SSAB has estimated.Vestre's previous sustainability efforts include introducing CO2 emissions product labelling and reusing its old fair stands for new installations.Its production facility in Norway, completed by BIG in 2022, is described by the brand as the most environmentally friendly furniture factory in the world, with Passivhaus strategies, solar panels and geothermal wells.Photography is by Einar Aslaksen.","and Emma Olbers have produced a piece of furniture using fossil-free steel. Tellus is made from steel forged by SSAB in its converted blast furnace. Tellus is intended for parks and other public spaces, and can be ordered in any classic colour."
this week on dezeen,This week we revealed a treetop walkway in Norway,"This week on Dezeen, we revealed a treetop walkway in Norway and reflected on the 3 Days of Design festival by examining the key trends from the event.",Tom Ravenscroft,https://www.dezeen.com/2023/06/17/treetop-walkway-norway-this-week/,2023-06-17,"This week on Dezeen, we revealed a treetop walkway in Norway and reflected on the 3 Days of Design festival by examining the key trends from the event.Winding through the Hamaren Activity Park in Fyresdal to end at a circular viewpoint, the one-kilometre-long walkway was designed by Danish studio EFFEKT.""The treetop walk in Hamaren Activity Park offers all nature lovers, regardless of age, disability or physical limitation, a new perspective on the natural landscape of Fyresdal,"" said EFFEKT.In automotive news, Swiss designer Yves Behar unveiled his design for an electric pickup truck that will be 3.8 metres long – the same length as a two-door Mini Cooper SE hatchback.Also, former footballer David Beckham revealed a pair of sports cars that he has designed for Italian brand Maserati.""It has been incredible to collaborate with the skilled Maserati team once again to create these designs, inspired by my passion for classic cars and my appreciation for personal detail,"" said Beckham.Continuing our coverage of design festival 3 Days of Design, Dezeen editor-at-large Amy Frearson revealed the 10 top trends from the 2023 edition. These included the resurgence of furniture made from pine wood and sofas of the future.We also reported on floor-to-ceiling biotextiles by Natural Material Studio and ""brutal and sophisticated"" wooden furniture at the festival.In architecture news, UK studio Zaha Hadid Architects revealed its designs for a luxury condominium with a glass-bottomed swimming pool reminiscent of one recently completed in London.The development is set to be built in Surfside, Florida, on the site of a building that collapsed in 2021.In the UK, technology company Apple unveiled its latest store, which was built in London's recently revamped Battersea Power Station.It incorporates redesigned furniture and fittings including an oak framework of shelving, bio-polymer flooring, acoustic baffles made from biomaterial and lowered tables and Genius Bar.According to the brand, it represents an evolution in its retail design thinking with more of an emphasis placed on accessibility and sustainability.Popular projects this week included a flat-pack dog kennel designed by Foster + Partners, a circular church with a monumental steeple in Brasilia and a SKIMS swimwear pop-up at Selfridges.Our latest lookbooks featured bedrooms with bathtubs and bathrooms with double sinks.This week on DezeenThis week on Dezeen is our regular roundup of the week's top news stories. Subscribe to our newsletters to be sure you don't miss anything.",a luxury condominium with a glass-bottomed swimming pool reminiscent of one recently completed in London.dezeen editor-at-large Amy Frearson revealed the 10 top trends from the 2023 edition. a treetop walk in the Hamaren Activity Park in Fyresdal offers all nature lovers a new perspective on the natural landscape of Fyresdal.
architecture,SFMOMA becomes first museum to acquire Nakagin Capsule Tower pod,"A module from the Nakagin Capsule Tower, which was recently disassembled in Tokyo, has been acquired by the San Francisco Museum of Modern Art in the USA.",Lizzie Crook,https://www.dezeen.com/2023/06/16/sfmoma-acquires-nakagin-capsule-tower-pod/,2023-06-16,"A module from the Nakagin Capsule Tower, which was recently disassembled in Tokyo, has been acquired by the San Francisco Museum of Modern Art in the USA.San Francisco Museum of Modern Art (SFMOMA) is the first museum to obtain a capsule from the landmark metabolist building after it was disassembled in 2022 due to decay.The pod it has acquired is Capsule A1302, which was once owned by the tower's architect Kisho Kurokawa.It is one of 23 modules saved during demolition by the Nakagin Capsule Tower Preservation and Restoration Project, an initiative led by former resident Tatsuyuki Maeda.""Capsule A1302 has been carefully restored in close conversation with Kurokawa’s office, curators and historians,"" said SFMOMA.""The capsule joins the museum’s deep holdings in Japanese architecture, design and photography.""Completed in Tokyo's Ginza neighbourhood in 1972, the Nakagin Capsule Tower is one of few built examples of metabolist architecture – an architecture movement founded in post-war Japan.The movement was pioneered by Kurokawa with fellow architects Kiyonori Kikutake and Fumihiko Maki and centred on the idea of buildings being adaptable and replaceable.This is reflected in the design of the 13-floor Nakagin Capsule Tower, which was designed so that its individual capsules could be replaced or moved if desired. However, a lack of funding meant this was never realised and ultimately led to the decline of the building.According to the SFMOMA, its acquisition of Capsule A1302 reflects ""the architect's wish that the capsules not remain fixed, but rather move to other locations"".A total of 140 modules made up the 13-storey tower. Each containing a tiny home, they were bolted onto two concrete cores and prefabricated from steel.All of the prefabricated capsules measured 2.5 metres in height and width and four metres in length, with a single circular window and a built-in bathroom, bed and desk.Capsule A130, the unit acquired by SFMOMA, was once positioned on the tower's top floor. According to the museum, it has been used as a set for several films.In addition to SFMOMA's acquisition of Capsule A1302, the museum has also obtained nine photos of Nakagin Capsule Tower taken by artist Noritaka Minami. Collected from Minami's series named 1972, they document the building's interiors between 2010 and 2022.During its demolition last year, Japanese digital consultancy Gluon created a highly accurate virtual model of the Nakagin Capsule Tower, while Kurokawa's studio auctioned the rights to rebuild it in both real space and the metaverse.Elsewhere, Nakagin Capsule Tower A606 Project is currently transforming one of the building's pods into a ""mobile capsule"".The photography is by Noritaka Minami unless stated otherwise.","the Nakagin Capsule Tower, which was recently disassembled in Tokyo, has been acquired by the San Francisco Museum of Modern Art in the USA. SFMOMA is the first museum to acquire a capsule from the landmark metabolist building. the capsules measured 2.5 metres in height and width and four metres in length. the capsules were bolted onto two concrete cores and prefabricated from steel."
3 days of design,"NINE promises ""more female designers in the pipeline"" following launch of debut collection","Recently launched furniture brand NINE has unveiled its inaugural collection, which shines a light on emerging talents but is mostly made up of male designers.",Amy Frearson,https://www.dezeen.com/2023/06/16/nine-furniture/,2023-06-16,"Recently launched furniture brand NINE has unveiled its inaugural collection, which shines a light on emerging talents but is mostly made up of male designers.Launched by Nine United, a parent company that also owns brands &Tradition, Verpan and Frandsen, NINE's focus is on highly functional, contemporary furniture designed by rising talents.The debut collection, unveiled at 3 Days of Design in Copenhagen, centres around products by nine designers and studios including Julien Renault, Daniel Schofield and Matteo Fogale. Swiss-French designer Alexandra Gerber is the only woman.Katherine Hoeger, CEO at Nine United Europe, told Dezeen that the current gender balance is not representative of the pool of designers that the company is working with.""We have work by some super talented female designers in the pipeline, but we had a limitation about what we could show in terms of what was ready,"" she said.Sam Stotesworthy, head of design and development for NINE, described it as ""an unhappy accident"".He said the gender split will quickly improve as the brand rolls out more products. ""By next year, we will be very close to a 50/50 split,"" he said.NINE revealed one of these upcoming projects within the Copenhagen exhibition.In a side room next to the main show, the brand showcased Sine, an outdoor furniture collection designed by Malin Engvall of Note Design Studio, which will launch in 2024.""It was initially intended to be behind closed doors, just to show to customers looking ahead to next year, but we love it so much that we couldn't help ourselves,"" said Stotesworthy.NINE's aesthetic centres around strong geometries, elemental forms and bold colours. Designs are developed with ease of assembly and transportation in mind, using recycled and recyclable materials where possible.Stotesworthy describes the style as ""simple, clean, unpretentious and perfect for urban living"".Gerber's contribution to the collection is Hook, a family of pendant lamps formed of two key elements.A wide semi-cone forms the shade, while a slender cylinder houses the fitting. The two are connected by a single concealed hook, creating the impression that the shade is floating.The range also includes 19 Outdoors, a range of outdoor furniture that developed from a charity project.Tom and Will Butterfield, also known as the Butterfield Brothers, organised the 19 Chairs project to raise money for Age UK during the first Covid-19 lockdown. Stotesworthy approached the duo after seeing the project on Instagram.""It's every young designer's dream to do a project, then have someone say they would like to produce it,"" said Stotesworthy. ""It's great that we have this platform that can do that.""Other key pieces include Bolt, a steel and oak shelving system by emerging German designer Lennart Ebert, and Skinny, a versatile wooden chair by British designer John Tree.""The Skinny chair from John is one of the most practical, functional products we have,"" said Stotesworthy.""It just ticks all the boxes in terms of good design and good quality; I think it really summarises what we're trying to do.""Nine United was founded by Danish entrepreneur Troels Holch Povlsen, who is also one of the co-founders of Danish furniture brand Hay.Hay previously sat within Nine United, but this changed after US furniture giant Herman Miller – now renamed MillerKnoll – acquired a third of the business in 2018.When asked about similarities between NINE and Hay, Hoeger said: ""Hay is a brand that we hugely admire. While both share a contemporary aesthetic, Hay covers such a broad spectrum that NINE is too small to draw a comparison.""The next steps for NINE, according to Hoeger, are to build the team out beyond product development. Up until now, the brand has relied on Nine United's business infrastructure to get off the ground.Stotesworthy revealed that workplace design will play an important role in the brand's upcoming collections.""We have some new products coming next year expanding into offices and home offices, which I think will show a little bit more about our direction for the future,"" he added.NINE was on show as part of 3 Days of Design 2023, from 7 June to 9 June 2023. See Dezeen Events Guide for information about the event, plus a list of other architecture and design events taking place around the world.",", Sine, a family of pendant lamps formed of two key elements.A wide semi-cone forms the shade, while a slender cylinder houses the fitting. the collection, unveiled at 3 Days of Design in Copenhagen, centres around products by nine designers and studios including Julien Renault and Daniel Schofield."
news,Dezeen editor Tom Ravenscroft named Editor of the Year at publishing awards,Dezeen editor Tom Ravenscroft has been named Editor of the Year at the Association of Online Publishers' annual awards ceremony.,Cajsa Carlson,https://www.dezeen.com/2023/06/16/tom-ravenscroft-editor-year-aop/,2023-06-16,"Dezeen editor Tom Ravenscroft has been named Editor of the Year at the Association of Online Publishers' annual awards ceremony.Ravenscroft won the award for leading the publication to one of its most successful years during a difficult period following the death of Dezeen founder Marcus Fairs.""Tom was the standout visionary in this category and it's clear that he's been able to use that strong vision to energise his team during a potentially difficult and challenging time for the business,"" said the judges.He won the award, which recognises excellence in online publishing, alongside other winners on the night including The Economist, ESPN, Times, Telegraph, Independent and Which?Dezeen was also shortlisted in the Editorial Team of the Year category as well as Best Online Brand: B2B and Small Digital Publisher of the Year awards.Ravenscroft and Dezeen are also shortlisted for three awards – Editor of the Year, Special Interest Magazine and Editorial Team of the Year – at the Professional Publishers Association awards, which will be announced later this month.The awards are the latest recognition for Dezeen's editorial content. The brand was named Business Publication of the Year at the PPA's annual awards and editorial brand of the year by the International Building Press last year.",award ceremony. Tom Ravenscroft has been named Editor of the Year at the Association of Online Publishers' annual awards ceremony. Tom Ravenscroft led the publication to one of its most successful years during a difficult period following the death of Marcus Fairs.
architecture,Zaha Hadid Architects to replace collapsed Surfside condo in Miami,"UK studio Zaha Hadid Architects has unveiled designs for a luxury condominium with a glass-bottomed swimming pool in Surfside, Florida, on the site of a structure that collapsed in 2021.",Ben Dreith,https://www.dezeen.com/2023/06/14/zaha-hadid-architects-surfside-miami/,2023-06-14,"UK studio Zaha Hadid Architects has unveiled designs for a luxury condominium with a glass-bottomed swimming pool in Surfside, Florida, on the site of a structure that collapsed in 2021.Zaha Hadid Architects unveiled two possible designs for the site, commissioned by developer DAMAC International, which purchased the land in 2022.Renderings of the design show two slightly different versions of a 12-storey condominium with a void separating two massings. The blocks would be connected by a glass-bottomed swimming pool, which appears to be a similar design to a fully transparent pool that was recently completed as part of a development in London.One of the iterations has a more standard form, while the other has a structure that streps back as it rises. Both designs have a similar aesthetic with curved balcony overhangs and large expanses of glass.The design comes after the development company purchased the site of a 136-unit residential building called Champlain Towers South, which collapsed because of improper maintenance to its concrete structure in 2021, killing 98 people.""We are honored to have been chosen for this very special project,"" said ZHA director Chris Lepine.""While no work of architecture can ever remove the pain of the past, nor should it, a truly ambitious work of architecture can respect such a significant site,"" he continued. ""It's a great responsibility to be providing this vision for Surfside.""The new structure will have 57 residences, a decrease from the previously existing structure in the municipality that lies just north of Miami Beach in Florida.According to DAMAC, the two design versions have been submitted in order to provide ""alternative interpretations of the town planning ordinances"".DAMAC vice president of communications Niall Mc Loughlin said that the design will add an ""ultra-luxury experience and a true sense of place"" to the area.""We know we cannot replace what was so painfully lost, but it is our desire that the building honors and respects its location at the heart of Surfside's community and offers a sense of closure to the tragic event of the past while also providing a sense of a new beginning,"" said Mc Loughlin.Miami has seen an increase in large building proposals since the 2021 collapse, including a proposed supertall skyscraper by Sieger Suarez Architects and Carlos Ott. ZHA has completed one other building in the Miami area, the One Thousand Museum, a 62-storey residential skyscraper.The images are by Hayes Davidson. ","Zaha Hadid Architects has unveiled designs for a luxury condominium with a glass-bottomed swimming pool in Surfside, Florida. the new structure will have 57 residences, a decrease from the previously existing structure in the municipality. the design comes after the development company purchased the site of a 136-unit residential building called Champlain Towers South."
